Listing for omni2 data from 20240507 to 20240515
Selected parameters:
 1 BZ, nT (GSM)
 2 SW Plasma Temperature, K
 3 SW Proton Density, N/cm^3
 4 SW Plasma Speed, km/s
 5 Flow pressure

YEAR DOY HR    1        2     3     4     5 
2024 135 10   4.3  107816.   0.8  538.  0.55
2024 135 11   2.6  132484.   0.8  531.  0.52
2024 135 12  -0.2  168401.   0.8  528.  0.58
2024 135 13   0.7  163603.   0.9  514.  0.61
2024 135 14   0.4  137592.   0.9  507.  0.57
2024 135 15   0.2  101641.   0.9  524.  0.57
2024 135 16   1.5   70818.   0.7  516.  0.45
2024 135 17   2.5   74273.   0.8  537.  0.57
2024 135 18   0.4  127932.   0.9  523.  0.63
2024 135 19  -0.0  104349.   0.8  510.  0.52
2024 135 20   2.0   63902.   0.8  511.  0.51
2024 135 21   2.4   60964.   0.8  512.  0.49
2024 135 22   1.4   83206.   0.8  504.  0.47
2024 135 23   1.3   71497.   0.8  504.  0.45
2024 136  0   2.0   62199.   0.9  531.  0.55
2024 136  1   2.4   56454.   0.9  521.  0.52
2024 136  2   1.8   70675.   0.9  507.  0.50
2024 136  3  -2.5   50033.   1.1  531.  0.67
2024 136  4  -2.9   51058.   1.1  528.  0.66
2024 136  5  -2.6   70009.   1.2  523.  0.72
2024 136  6  -0.9   87780.   1.3  505.  0.72
2024 136  7   1.3   96480.   1.5  491.  0.79
2024 136  8   1.6   98859.   1.6  498.  0.86
2024 136  9  -1.3  107999.   1.7  496.  0.90
2024 136 10  -1.6  108309.   1.7  486.  0.86
2024 136 11  -2.5   99814.   1.6  482.  0.78
2024 136 12  -1.3   98616.   1.6  473.  0.76
2024 136 13   1.1  111537.   1.3  456.  0.60
2024 136 14   0.5   97743.   1.5  461.  0.68
2024 136 15   0.3   87614.   1.5  455.  0.65
2024 136 16  -0.6   83612.   1.5  451.  0.65
2024 136 17  -1.1   85204.   1.5  448.  0.64
2024 136 18  -0.4   80778.   1.5  445.  0.62
2024 136 19  -0.1   82099.   1.8  452.  0.74
2024 136 20  -1.0  124838.   3.1  447.  1.33
2024 136 21  -2.8  127276.   3.1  444.  1.28
2024 136 22  -0.4  127622.   2.9  431.  1.20
2024 136 23  -1.6  130548.   3.4  428.  1.33
